QUESTION	QUESTION-ALIGNMENT	CHOICE 1	CHOICE 2	CHOICE 3	CHOICE 4	CORRECT CHOICE	RELEVANT TABLE	RELEVANT ROW	RELEVANT COL
Argyllshire is a country located in what country?	"0,1,2,3"	Scotland	England	Mexico	the United States of America	1	regents-04	119	4
Which one of these are a county located in Scotland?	"0,1,2,3"	Ayrshire	Amiable	Anteater	Altitude	1	regents-04	120	0
"Ayrshire, located in Scotland, is a_______?"	"0,1,2,3"	City	County	Province	State	2	regents-04	120	2
Ayrshire is a county located in which country?	"0,1,2,3"	USA	China	Scotland	Mexico	3	regents-04	120	4
Which subdivision is located in Scotland?	"2,3"	Banffshire	Sonora	Radnorshire	Wyoming	1	regents-04	121	0
Baffenshire is what part of Scotland?	"0,3"	county	state	city	province	1	regents-04	121	2
Banffshire is a county in what country?	0	scotland	china	canada	england	1	regents-04	121	4
Which of these is a county located in Scotland?	"0,1,2,3"	New Brunswick	Berwickshire	Campeche	Warwickshire	2	regents-04	122	0
berwickshire is what type of subdivision?	0	county	province	country	state	1	regents-04	122	2
Berwickshire is a county located in which country	"0,1,2,3"	Scotland	England	Canada	the United States of America	1	regents-04	122	4
Which county is located in Scotland	"1,2,3"	Buteshire	Nevada	Brecknockshire	Michigan	1	regents-04	123	0
"What type of region is Buteshire, Scotland?"	"0,3"	state	province	special administrative region	county	4	regents-04	123	2
Buteshire is a country located in what country?	"0,3"	Scotland	wales	Canada	United States of America	1	regents-04	123	4
Which county is located in Scotland	"1,2,3"	Cromartyshire	Huntingdonshire	Staffordshire	Virginia	1	regents-04	124	0
Cromartyshire is a county located in	"0,1,2"	England	Scotland	the United States of America	Canada	2	regents-04	124	2
Cromartyshire is a county in what country?	"0,1,2"	England	Mexico	Scotland	Canada	3	regents-04	124	4
Which is these if a county in Scotland?	"0,1,2,3"	Flintshire	Ireland	Michigan	Caithness	4	regents-04	125	0
Caithness is a _______ located in Scotland.	"0,1,2,3"	province	country	state	union	2	regents-04	125	2
Which of these is a county located in Scotland?	"0,1,2,3"	Devon	Clackmannanshire	Nayarit	Wyoming	2	regents-04	126	0
What subdivision of Scotland is Clackmannanshire considered?	"0,1,3"	County	Territory	State	Country	1	regents-04	126	2
What country does the county of Clackmannanshire reside in?	"0,1,2,3"	England	Scotland	Canada	Mexico	2	regents-04	126	4
Which of the following is a county located in Scotland?	"0,1,2,3"	Nova Scotia	Missouri	Yukon	Dumfriesshire	4	regents-04	127	0
Dumfriesshire is a _______ in Scotland.	"0,1,3"	province	state	county	micro-state	3	regents-04	127	2
Dumfriesshire is a county located in which country?	"0,1,2,3"	Canada	USA	China	Scotland	4	regents-04	127	4
Dunbartonshire is located in what country?	2	Scotland	Wales	USA	England	1	regents-04	128	0
Dunbartonshire is what type of subdivision in Scotland?	"0,2,3"	county	city	state	town	1	regents-04	128	2
The county of Dunbartonshire/Dumbartonshire is located in _______.	"0,2,3"	Canada	Wales	Scotland	England	3	regents-04	128	4
Which of the following is a county of Scotland?	"0,1,2,3"	Devon	Alabama	New Jersey	Haddingtonshire	4	regents-04	129	0
East Lothian/Haddingtonshire is a _______ located in Scotland.	"0,1,2,3"	county	state	city	kingdom	1	regents-04	129	2
East Lothian/Haddingtonshire is a county located where?	"0,1,2"	the People's Republic of China	Canada	England	Scotland	4	regents-04	129	4
Which of the following is locatd in Scotland?	2	Warwickshire	Essex	Fife	Colorado	3	regents-04	130	0
Fife is located in what country?	"0,2"	Scotland	Canada	China	usa	1	regents-04	130	2
Fife is located in what country?	"0,3"	Scotland	Canada	China	USA	1	regents-04	130	4
Which county is located in Scotland?	"1,2,3"	Iowa	Wigtownshire	Utah	Inverness-shire	4	regents-04	131	0
Iverness-shire is located in Scotland and is a	"0,1,2,3"	county	state	province	territory	1	regents-04	131	2
Which county is located in Scotland	"1,2,3"	Kincardineshire	Wisconsin	Leicestershire	Michigan	1	regents-04	132	0
Kincardineshire is located in what country?	"0,2,3"	Iraq	Wales	France	Scotland	4	regents-04	132	2
In what country can the county of Kincardineshire be found?	"0,2,3"	England	Scotland	Canada	Mexico	2	regents-04	132	4
Kinross-shire is what part of Scotland?	"0,1,3"	county	state	city	province	1	regents-04	133	2
What country is the county of Kinross-shire located in?	"0,2,3"	Mexico	England	Scotland	The United States of America	3	regents-04	133	4
Which of the following is a county located in Scotland?	"0,1,2,3"	Chihuahua	Yukon	Kirkcudbrightshire	Wiltshire	3	regents-04	134	0
Kirkcudbrightshire is what type of Scottish subdivision?	"0,1,2,3"	County	State	Province	Capital city	1	regents-04	134	2
In which country is the county of Kirkcudbrightshire located in?	"0,3"	England	Canada	Scotland	Wales	3	regents-04	134	4
_______ is a county in Scotland.	"0,1,2,3"	Warwickshire	Saskatchewan	Missouri	Lanarkshire	4	regents-04	135	0
Scotland's Lanarkshire is a:	"0,1,3"	county	country	province	river	1	regents-04	135	2
Lanarkshire is a county located in which country?	"0,1,2,3"	Canada	England	the United States of America	Scotland	4	regents-04	135	4
What country is the state of Oaxaca located in>	2	Mexico	Scotland	England	China	1	regents-04	136	0
Midlothian is a _______ in the country of Scotland.	"0,1,2,3"	county	state	province	parish	1	regents-04	136	2
Midlotian is located in what country?	"0,3"	Scotland	Canada	China	usa	1	regents-04	136	4
Which is a county located in Scotland?	"0,1,2,3"	Huntingdonshire	Sussex	Jalisco	Morayshire	4	regents-04	137	0
Morayshire is located in Scotland and is a?	"0,1,2,3"	special administrative region	province	county	state	3	regents-04	137	2
Morayshire is in:	"0,3"	Scotland	Wales	England	The US	1	regents-04	137	4
A county located in Scotland is _______.	"1,2,3"	Lincolnshire	Nunavut	Nairnshire	Zacatecas	3	regents-04	138	0
What type of subdivision is Nairnshire Scotland?	"0,3"	county	province	state	territory	1	regents-04	138	2
Which country contains the county Nairnshire?	"0,2"	Scotland	England	Mexico	Wales	1	regents-04	138	4
Which one of the following is a county located in Scotland?	"0,1,2,3"	New South Wales	Georgia	Orkney	Wigtownshire	3	regents-04	139	0
Orkney is what part of Scotland?	"0,3"	county	state	city	country	1	regents-04	139	2
In which country is the county Orkney located in?	"0,2,3"	England	Scotland	Sweden	Canada	2	regents-04	139	4
Which county is located in Scotland	"1,2,3"	Peeblesshire	Carmarthenshire	Guanajuato	Guanajuato	1	regents-04	140	0
Peeblesshire is a _______ in Scotland.	"0,2"	State	City	municipality	County	4	regents-04	140	2
where is the county of peebleshire located	3	canada	england	scotland	mexico	3	regents-04	140	4
What county is located in Scotland?	"1,2,3"	Gloucestershire	Hertfordshire	Perthshire	Northumberland	3	regents-04	141	0
Perthshire is a _______ located in Scotland.	"0,1,2,3"	county	state	province	city	1	regents-04	141	2
Perthshire is a county located in _______	"0,1,2,3"	Scotland	Wales	the United States of America	the People's Republic of China	1	regents-04	141	4
Renfrewshire is located in what country?	2	Scotland	Wales	England	China	1	regents-04	142	0
What type of subdivision is Renfrewshire in Scotland?	"0,3"	county	state	federal district	province	1	regents-04	142	2
Renfrewshire can be found in _______.	"0,3"	France	Scotland	Denmark	Finland	2	regents-04	142	4
Which of the following is a county in Scotland?	"0,1,2,3"	Chiapas	Monmouthshire	Ross-shire	Cardiganshire	3	regents-04	143	0
"Ross-shire, which is located in Scotland, is a what?"	"0,1,2,3"	Country	State	County	Planet	3	regents-04	143	2
What country has a county called Ross-shire?	"0,2"	England	Scotland	Wales	The United States of America	2	regents-04	143	4
Which of the following is a county located in Scotland?	"0,1,2,3"	Merioneth	Hampshire	Denbighshire	Selkirkshire	4	regents-04	144	0
Selkirkshire is a _______ in Scotland.	"0,1,3"	Town	County	Park	Prison	2	regents-04	144	2
What county is located in Scotland?	"0,2,3"	Selkirkshire	Region	Washington	Mexico	1	regents-04	144	4
Which county is located in Scotland	"1,2,3"	Shetland	Fujian	Connecticut	Colima	1	regents-04	145	0
Shetland is a _______ in Scotland.	"0,1,2,3"	state	city	province	county	4	regents-04	145	2
Shetland is a county located in which of the following country?	"0,1,2,3"	Mexico	Scotland	England	Canada	2	regents-04	145	4
what country is stirlingshire located in	2	scotland	china	united states	austrailia	1	regents-04	146	0
"Stirlingshire, which is located in Scotland is a?"	"0,1,2,3"	county	municipality	state	province	1	regents-04	146	2
Stirlingshire is a country located in which country?	"0,1,2,3"	England	Scotland	the United States of America	the People's Republic of China	2	regents-04	146	4
Which of the following is a county located in Scotland?	"0,1,2,3"	Sutherland	Montgomeryshire	Cardiganshire	Bedfordshire	1	regents-04	147	0
"Sutherland, in Scotland, is what type of subdivision?"	"0,1,2,3"	state	autonomous region	province	county	4	regents-04	147	2
Sutherland  is located in what country?	"0,3"	Scotland	Canada	China	USA	1	regents-04	147	4
Which county is located in Scotland	"1,2,3"	West Lothian/Linlithgowshire	Coahuila	Westmoreland	Durham	1	regents-04	148	0
West Lothian/Linlithgowshire is a _______ located in Scotland.	"0,1,2,3"	state	county	providence	city	2	regents-04	148	2
Linlithgowshire is a county in what country?	"0,1,2,3"	the United States of America	Scotland	Canada	Mexico	2	regents-04	148	4
Which of these is a county located in Scotland?	"0,1,2,3"	Iowa	Chiapas	Wigtownshire	Oaxaca	3	regents-04	149	0
Wigtownshire is a what located in Scotland?	"0,1,2,3"	county	state	province	territory	1	regents-04	149	2
What country is Wigtownshire located in?	"0,3"	Scotland	Canada	Wa;es	England	1	regents-04	149	4
Which is a province located in the People's Republic of China?	"0,1,2,3"	Arizona	Puebla	Sonora	Anhui	4	regents-04	150	0
"Anhui, located in the People's Republic of China is a?"	"0,1,2,3"	county	province	state	municipality	2	regents-04	150	2
Anhui is a province located in_______	"0,1,2,3"	the United States of America	Mexico	the People's Republic of China	Wales	3	regents-04	150	4
Which of these is a province located in the People's Republic of China?	"0,1,2,3"	Nairnshire	Banffshire	Dorset	Fujian	4	regents-04	151	0
"Fujian, located in China, is what type of subdivision?"	"0,1,2,3"	province	country	state	township	1	regents-04	151	2
Which country is the province of Fujian located?	"0,2"	the People's Republic of China	Scotland	England	Canada	1	regents-04	151	4
China has many provinces. One example is:	"1,3"	Gansu	South Korea	North Korea	Cromartyshire	1	regents-04	152	0
Located in the People's Republic of China Gansu is a	"0,1,2,3"	province	state	country	country	1	regents-04	152	2
In which country is Gansu a province?	"0,2"	Mexico	Canada	Scotland	the People's Republic of China	4	regents-04	152	4
Which is a province located in the People's Republic of China?	"0,1,2,3"	Lancashire	Yorkshire	Guangdong	Illinois	3	regents-04	153	0
"Guangdong, located in the People's Republic of China is a?"	"0,1,2,3"	province	state	county	municipality	1	regents-04	153	2
Where is the province Guangdong located in?	"0,2"	the United States of America	Englanf	Scotland	the People's Republic of China	4	regents-04	153	4
Which of the following is a province in the People's Republic of China?	"0,1,2,3"	Zacatecas	Nunavut	Brecknockshire	Guizhou	4	regents-04	154	0
Guizhou is a what located in the People's Republic of China?	"0,1,2,3"	Province	Galaxy	Country	Planet	1	regents-04	154	2
Guizhou is a province located in _______	"0,1,2,3"	England	Scotland	Mexico	the People's Republic of China	4	regents-04	154	4
One Chinese province is:	"0,1,3"	Korea	Hainan	Shetland	Hong Kong	2	regents-04	155	0
Hainan is located in what country?	"0,2"	China	Canada	USA	Scotland	1	regents-04	155	2
The province of Hainan is located in which of these following country?	"0,2,3"	England	Mexico	the People's Republic of China	Scotland	3	regents-04	155	4
Which of these is a province located in the People's Republic of China?	"0,1,2,3"	Renfrewshire	Morelos	Tibet	Hebei	4	regents-04	156	0
What type of subdivision is Hebei in the People's Repupublic of China?	"0,3"	province	municipality	federal district	state	1	regents-04	156	2
The province of Hebei is located in _______?	"0,2,3"	Scotland	the United States of America	England	the People's Republic of China	4	regents-04	156	4
What type of Chinese subdivision is Heilongjiang?	"0,3"	County	Province	State	Nation	2	regents-04	157	2
Heilongjiang is a province located in which country?	"0,1,2,3"	The People's Republic of China	Mexico	The United States of America	Scotland	1	regents-04	157	4
Which province is located in the People's Republic of China?	"1,3"	Sutherland	Henan	Suffolk	Huntingdonshire	2	regents-04	158	0
Henan is a _______ located in the People's Republic of China.	"0,1,2,3"	State	Province	County	Country	2	regents-04	158	2
Henan is a province located in which country?	"0,1,2,3"	the People's Republic of China	Canada	England	the United States of America	1	regents-04	158	4
The People's Republic of China contains what province?	"1,3"	Hubei	California	Essex	Nayarit	1	regents-04	159	0
"In the People's Republic of China, Hubei is a _______."	"0,1,3"	state	country	province	autonomous region	3	regents-04	159	2
In what country is Hubei province located?	"0,2,3"	Mexico	the People's Republic of China	Scotland	England	2	regents-04	159	4
"In the country of China, Hunan is what type of subdivision?"	"0,1,2,3"	city	province	state	county	2	regents-04	160	2
Where is the province Hunan located?	"0,1,2,3"	People's Republic of China	Scotland	the United States of America	Mexico	1	regents-04	160	4
A province in China is:	"0,1,2,3"	Jiangsu	Campeche	Nayarit	Yukon Territory	1	regents-04	161	0
"Jiangsu, located in the People's Republic of China is a?"	"0,1,2,3"	county	province	state	territory	2	regents-04	161	2
Jiangsu is a province located in which country	"0,1,2,3"	the People's Republic of China	England	Wales	Scotland	1	regents-04	161	4
Jiangxi is located in what country?	2	China	US	Mexico	Scotland	1	regents-04	162	0
What is Jiangxi located as in the People's Republic of China?	"0,2,3"	State	Province	City	County	2	regents-04	162	2
Jiangxi is located in what country?	"0,3"	China	Canada	USA	Scotland	1	regents-04	162	4
Which is these if a province of China?	"0,1,2,3"	Maine	Velacruz	Dorset	Jilin	4	regents-04	163	0
Which type of subdivision is Jilin in the People's Republic of China?	"0,3"	county	province	state	federal district	2	regents-04	163	2
